10,316,52,42,2.1672,4.1567,107
30,321,72,42,2.1431,4.2756,107
49,313,89,40,2.2586,4.3629,107
50,301,89,39,2.1542,4.484,107
50,298,87,37,2.0367,4.4096,107
50,297,90,40,2.0014,4.3723,107
29,306,69,40,2.1548,4.2326,107
50,312,92,42,2.2182,4.3342,107
50,314,91,41,2.0551,4.499,107
50,314,90,40,2.1033,4.2992,107
50,311,93,43,2.0161,4.4864,107
14,296,53,39,2.1591,4.2102,107
43,292,80,37,2.393,4.3441,107
46,300,85,39,2.3605,4.471,107
50,310,89,39,2.2972,4.6374,107
34,321,77,43,2.2131,4.674,107
11,314,56,45,2.0146,4.3193,107
15,305,58,43,2.2186,4.022,107
50,298,89,39,2.3051,4.3644,107
50,304,90,40,2.1976,4.2379,107
50,302,88,38,2.1571,4.1185,107
50,305,91,41,2.2151,4.2691,107
17,315,60,43,2.1397,4.0539,107
39,313,82,43,2.1916,4.2241,107
50,308,92,42,2.2378,4.3183,107
50,296,91,41,2.2012,4.358,107
50,294,89,39,2.1631,4.3389,107
46,298,86,40,2.0945,4.4797,107
17,320,60,43,2.1997,4.1505,107
47,318,90,43,2.2083,3.9189,107
50,310,93,43,2.1876,4.4752,107
50,308,93,43,2.2405,3.9686,107
50,296,93,43,2.2803,4.4982,107
17,300,59,42,2.1858,4.0645,107
26,300,68,42,2.2198,4.0901,107
50,309,92,42,2.1682,3.891,107
50,315,91,41,2.2003,4.4183,107
49,322,92,43,2.3014,3.5882,107
10,306,53,43,2.3084,3.589,107
30,292,70,40,2.9494,4.492,107
28,297,69,41,3.4076,4.7162,107
50,296,89,39,3.4455,4.6601,107
42,316,84,42,3.3072,4.5083,107
50,321,96,46,2.9893,4.4663,107
29,315,71,42,3.0228,4.4715,107
45,305,86,41,2.982,4.1895,107
50,304,89,39,2.8267,4.5351,107
50,296,91,41,2.5802,4.1285,107
50,295,92,42,2.2395,4.2968,107
32,307,74,42,2.2434,3.3708,107
