10,384,16,6,2.5781,2.7371,113
10,360,15,5,2.4089,2.5895,113
10,377,16,6,2.5049,2.7359,113
9,390,15,6,2.5395,2.797,113
10,417,17,7,2.6711,2.8179,113
10,362,17,7,2.5208,2.6791,113
9,378,15,6,2.6007,2.7776,113
9,396,16,7,2.5668,2.7677,113
10,370,16,6,2.6807,2.7897,113
10,335,16,6,2.4307,2.6396,113
11,348,17,6,2.5214,2.6947,113
9,385,15,6,2.5134,2.7638,113
8,368,14,6,2.5435,2.7309,113
9,321,15,6,2.5027,2.6621,113
9,379,15,6,2.5549,2.7232,113
9,432,15,6,2.5074,2.7104,113
10,393,17,7,2.5939,2.722,113
10,352,16,6,2.4496,2.5917,113
10,400,16,6,2.4895,2.659,113
10,388,17,7,2.5006,2.6611,113
10,333,15,5,2.5365,2.7613,113
9,597,16,7,2.3031,2.4661,113
10,404,16,6,2.2921,2.5678,113
8,378,15,7,2.4406,2.6388,113
9,367,15,6,2.4619,2.6082,113
9,381,16,7,2.498,2.6186,113
10,412,16,6,2.5668,2.7615,113
10,394,15,5,2.5732,2.7485,113
9,359,15,6,2.3362,2.5352,113
11,376,17,6,2.3451,2.5374,113
10,376,17,7,2.4479,2.6673,113
10,379,16,6,2.5504,2.6968,113
10,365,16,6,2.4861,2.5794,113
10,370,16,6,2.4128,2.5809,113
9,373,15,6,2.4224,2.5861,113
10,384,16,6,2.4913,2.6254,113
9,334,15,6,2.4686,2.623,113
7,351,12,5,2.4039,2.61,113
10,410,17,7,2.4621,2.5905,113
9,375,15,6,2.4548,2.6496,113
8,329,14,6,2.3121,2.5062,113
9,357,15,6,2.3024,2.5157,113
10,380,17,7,2.4341,2.5794,113
9,389,14,5,2.5188,2.6832,113
10,357,16,6,2.418,2.5213,113
12,366,18,6,2.3969,2.5375,113
9,381,15,6,2.6007,2.7196,113
10,379,16,6,2.5165,2.6988,113
10,340,16,6,2.4537,2.6194,113
10,399,15,5,2.4282,2.5476,113
