16,278,23,7,2.8422,3.4343,116
15,276,24,9,3.5851,3.9764,116
24,267,33,9,3.8007,4.2264,116
15,265,23,8,3.7124,4.2028,116
28,270,36,8,3.5996,4.2119,116
23,270,31,8,3.704,4.1192,116
19,271,27,8,3.5672,4.1289,116
16,267,24,8,3.5431,4.0396,116
25,271,33,8,3.7513,4.1752,116
21,269,29,8,3.1996,3.6816,116
17,268,25,8,3.5684,4.0337,116
25,274,33,8,3.586,4.2075,116
28,267,36,8,3.7509,4.16,116
18,270,26,8,3.5495,3.9283,116
15,278,25,10,3.6641,4.0341,116
15,270,23,8,3.5795,3.9953,116
21,272,29,8,3.5828,3.9391,116
21,278,30,9,3.6165,4.0536,116
18,270,26,8,3.6491,4.2118,116
16,272,24,8,3.6191,4.1554,116
29,270,37,8,3.371,3.7478,116
28,278,38,10,3.6294,3.9831,116
21,278,30,9,3.6064,4.0575,116
19,270,27,8,3.7015,4.2146,116
29,282,37,8,3.457,3.974,116
19,275,28,9,3.7036,4.3199,116
25,274,34,9,3.6307,4.1836,116
13,277,21,8,3.6821,4.1174,116
32,273,40,8,3.4945,3.9501,116
25,274,34,9,3.6652,4.1028,116
28,281,37,9,3.6192,4.2145,116
15,272,23,8,3.7113,4.2213,116
29,273,37,8,3.703,4.0588,116
31,277,39,8,3.5993,4.0661,116
27,270,36,9,3.6262,3.9366,116
12,271,21,9,3.7824,4.0536,116
19,271,27,8,3.5147,3.9562,116
30,271,39,9,3.7097,4.0965,116
30,275,38,8,3.5263,3.8248,116
21,270,30,9,3.6882,3.9716,116
18,272,27,9,3.6508,4.0821,116
19,274,27,8,3.552,3.9834,116
22,278,30,8,3.5757,3.9934,116
20,271,28,8,3.6198,4.0136,116
16,268,24,8,3.6792,4.0954,116
23,275,31,8,2.9661,3.5619,116
29,286,36,7,2.3145,2.675,116
28,275,35,7,3.0601,3.4658,116
17,279,24,7,3.2571,3.619,116
16,283,25,9,3.4532,3.8047,116
